LGA_NAME25,district_label,member,party,pct_area
Ararat,Lowan District,"KEALY, Emma",The Nationals,70.96
Ararat,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,29.04
Ballarat,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,74.44
Ballarat,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,16.9
Ballarat,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,8.66
Banyule,Ivanhoe District,"CARBINES, Anthony",Australian Labor Party - Victorian Branch,49.96
Banyule,Eltham District,"WARD, Vicki",Australian Labor Party - Victorian Branch,26.07
Banyule,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,23.91
Bass Coast,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,98.94
Bayside (Vic.),Sandringham District,"ROWSWELL, Brad",Liberal,53.46
Bayside (Vic.),Brighton District,"NEWBURY, James",Liberal,46.27
Boroondara,Kew District,"WILSON, Jess",Liberal,51.48
Boroondara,Hawthorn District,"PESUTTO, John",Liberal,34.9
Boroondara,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,13.47
Boroondara,Malvern District,"O'BRIEN, Michael",Liberal,0.11
Brimbank,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,28.4
Brimbank,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,22.51
Brimbank,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,18.96
Brimbank,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,14.32
Brimbank,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,13.87
Brimbank,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,1.94
Campaspe,Murray Plains District,"WALSH, Peter",The Nationals,63.81
Campaspe,Euroa District,"CLEELAND, Annabelle",The Nationals,36.14
Cardinia,Narracan District,"FARNHAM, Wayne",Liberal,36.69
Cardinia,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,27.49
Cardinia,Pakenham District,"VULIN, Emma",Australian Labor Party - Victorian Branch,17.62
Cardinia,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,15.75
Cardinia,Berwick District,"BATTIN, Brad",Liberal,2.35
Casey,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,35.77
Casey,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,17.05
Casey,Berwick District,"BATTIN, Brad",Liberal,16.91
Casey,Cranbourne District,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,15.42
Casey,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,9.65
Casey,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,1.25
Casey,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,0.8
Corangamite,Polwarth District,"RIORDAN, Richard",Liberal,92.98
Corangamite,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,2.38
Darebin,Preston District,"LAMBERT, Nathan",Australian Labor Party - Victorian Branch,50.51
Darebin,Northcote District,"THEOPHANOUS, Kat",Australian Labor Party - Victorian Branch,32.97
Darebin,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,16.45
Frankston,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,37.21
Frankston,Frankston District,"EDBROOKE, Paul",Australian Labor Party - Victorian Branch,32.87
Frankston,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,29.75
Frankston,Cranbourne District,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,0.12
Glen Eira,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,42.54
Glen Eira,Caulfield District,"SOUTHWICK, David",Liberal,40.04
Glen Eira,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,17.38
Glenelg,Lowan District,"KEALY, Emma",The Nationals,59.45
Golden Plains,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,77.14
Golden Plains,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,14.24
Golden Plains,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,8.59
Greater Bendigo,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,58.16
Greater Bendigo,Euroa District,"CLEELAND, Annabelle",The Nationals,26.3
Greater Bendigo,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,15.53
Greater Dandenong,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,40.68
Greater Dandenong,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,20.47
Greater Dandenong,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,18.2
Greater Dandenong,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,14.59
Greater Dandenong,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,6.01
Greater Geelong,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,55.66
Greater Geelong,Bellarine District,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,26.01
Greater Geelong,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,10.46
Greater Geelong,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,7.7
Greater Shepparton,Shepparton District,"O'KEEFFE, Kim",The Nationals,54.28
Greater Shepparton,Euroa District,"CLEELAND, Annabelle",The Nationals,36.11
Greater Shepparton,Murray Plains District,"WALSH, Peter",The Nationals,9.61
Hepburn,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,51.18
Hepburn,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,48.8
Hobsons Bay,Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,76.93
Hobsons Bay,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,19.53
Hobsons Bay,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,3.32
Hume,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,56.25
Hume,Kalkallo District,"SPENCE, Ros",Australian Labor Party - Victorian Branch,26.31
Hume,Greenvale District,"WALTERS, Iwan",Australian Labor Party - Victorian Branch,11.92
Hume,Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,5.47
Kingston (Vic.),Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,40.74
Kingston (Vic.),Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,35.49
Kingston (Vic.),Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,9.72
Kingston (Vic.),Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,9.37
Kingston (Vic.),Sandringham District,"ROWSWELL, Brad",Liberal,4.44
Kingston (Vic.),Brighton District,"NEWBURY, James",Liberal,0.1
Knox,Rowville District,"WELLS, Kim",Liberal,54.25
Knox,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,34.01
Knox,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,11.68
Latrobe (Vic.),Morwell District,"CAMERON, Martin",The Nationals,63.59
Latrobe (Vic.),Gippsland South District,"O'BRIEN, Danny",The Nationals,36.4
Loddon,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,45.77
Loddon,Murray Plains District,"WALSH, Peter",The Nationals,38.9
Loddon,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,14.43
Loddon,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,0.88
Manningham,Warrandyte District,"SMITH, Ryan",Liberal,64.57
Manningham,Bulleen District,"GUY, Matthew",Liberal,34.68
Manningham,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,0.69
Maribyrnong,Footscray District,"HALL, Katie",Australian Labor Party - Victorian Branch,73.56
Maribyrnong,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,20.74
Maribyrnong,Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,5.65
Maroondah,Croydon District,"HODGETT, David",Liberal,56.13
Maroondah,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,28.48
Maroondah,Warrandyte District,"SMITH, Ryan",Liberal,14.91
Maroondah,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,0.44
Melbourne,Melbourne District,"SANDELL, Ellen",Australian Greens,65.03
Melbourne,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,19.24
Melbourne,Prahran District,"HIBBINS, Sam",Australian Greens,8.42
Melbourne,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,4.66
Melbourne,Brunswick District,"READ, Tim",Australian Greens,2.43
Melbourne,Richmond District,"DE VIETRI, Gabrielle",Australian Greens,0.11
Melton,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,55.89
Melton,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,20.13
Melton,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,13.74
Melton,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,10.21
Merri-bek,Pascoe Vale District,"CIANFLONE, Anthony",Australian Labor Party - Victorian Branch,40.81
Merri-bek,Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,37.47
Merri-bek,Brunswick District,"READ, Tim",Australian Greens,18.73
Merri-bek,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,2.81
Merri-bek,Melbourne District,"SANDELL, Ellen",Australian Greens,0.13
Mitchell,Euroa District,"CLEELAND, Annabelle",The Nationals,87.34
Mitchell,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,8.13
Mitchell,Kalkallo District,"SPENCE, Ros",Australian Labor Party - Victorian Branch,4.51
Moira,Ovens Valley District,"McCURDY, Tim",The Nationals,51.17
Moira,Shepparton District,"O'KEEFFE, Kim",The Nationals,48.77
Monash,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,31.57
Monash,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,25.71
Monash,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,22.33
Monash,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,20.4
Moonee Valley,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,52.21
Moonee Valley,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,47.63
