POA_NAME21,district_label,member,party,pct_area
3002,Melbourne District,"SANDELL, Ellen",Australian Greens,97.79
3002,Richmond District,"DE VIETRI, Gabrielle",Australian Greens,2.21
3003,Melbourne District,"SANDELL, Ellen",Australian Greens,97.14
3003,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,2.62
3003,Footscray District,"HALL, Katie",Australian Labor Party - Victorian Branch,0.24
3004,Prahran District,"HIBBINS, Sam",Australian Greens,60.99
3004,Melbourne District,"SANDELL, Ellen",Australian Greens,24.93
3004,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,14.09
3006,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,85.19
3006,Prahran District,"HIBBINS, Sam",Australian Greens,14.7
3006,Melbourne District,"SANDELL, Ellen",Australian Greens,0.1
3008,Melbourne District,"SANDELL, Ellen",Australian Greens,78.89
3008,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,21.11
3012,Footscray District,"HALL, Katie",Australian Labor Party - Victorian Branch,49.99
3012,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,35.91
3012,Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,14.09
3013,Footscray District,"HALL, Katie",Australian Labor Party - Victorian Branch,68.79
3013,Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,31.2
3018,Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,95.23
3018,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,3.89
3018,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,0.7
3020,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,63.62
3020,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,36.11
3020,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,0.26
3021,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,77.12
3021,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,22.44
3021,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,0.43
3022,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,48.99
3022,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,48.95
3022,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,2.06
3023,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,84.06
3023,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,12.42
3023,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,3.52
3024,Werribee District,"PALLAS, Tim",Australian Labor Party - Victorian Branch,53.92
3024,Tarneit District,"WIGHT, Dylan",Australian Labor Party - Victorian Branch,16.71
3024,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,15.48
3024,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,13.89
3026,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,81.67
3026,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,18.27
3027,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,99.39
3027,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,0.61
3028,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,74.6
3028,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,23.39
3028,Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,1.66
3029,Tarneit District,"WIGHT, Dylan",Australian Labor Party - Victorian Branch,44.42
3029,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,29.99
3029,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,25.51
3030,Werribee District,"PALLAS, Tim",Australian Labor Party - Victorian Branch,68.45
3030,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,31.37
3031,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,57.68
3031,Melbourne District,"SANDELL, Ellen",Australian Greens,42.26
3032,Footscray District,"HALL, Katie",Australian Labor Party - Victorian Branch,56.29
3032,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,43.62
3033,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,98.73
3033,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,1.27
3036,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,40.85
3036,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,37.78
3036,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,20.5
3036,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,0.87
3038,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,43.76
3038,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,35.32
3038,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,20.91
3039,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,97.83
3039,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,2.15
