SAL_NAME21,district_label,member,party,pct_area
Albion (Vic.),Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,59.25
Albion (Vic.),St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,40.75
Allambee Reserve,Narracan District,"FARNHAM, Wayne",Liberal,77.59
Allambee Reserve,Gippsland South District,"O'BRIEN, Danny",The Nationals,22.41
Allestree,South-West Coast District,"BRITNELL, Roma",Liberal,98.66
Altona (Vic.),Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,95.0
Altona (Vic.),Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,4.11
Altona (Vic.),Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,0.74
Altona Meadows,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,96.96
Altona Meadows,Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,2.51
Anakie,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,92.48
Anakie,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,7.51
Archerton,Euroa District,"CLEELAND, Annabelle",The Nationals,95.72
Archerton,Ovens Valley District,"McCURDY, Tim",The Nationals,4.22
Ardeer,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,48.99
Ardeer,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,48.95
Ardeer,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,2.06
Armadale (Vic.),Malvern District,"O'BRIEN, Michael",Liberal,96.89
Armadale (Vic.),Prahran District,"HIBBINS, Sam",Australian Greens,1.84
Armadale (Vic.),Caulfield District,"SOUTHWICK, David",Liberal,1.27
Ashburton,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,98.2
Ashburton,Malvern District,"O'BRIEN, Michael",Liberal,1.8
Aspendale,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,98.39
Avalon,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,99.16
Axedale,Euroa District,"CLEELAND, Annabelle",The Nationals,59.66
Axedale,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,40.34
Ayrford,South-West Coast District,"BRITNELL, Roma",Liberal,61.91
Ayrford,Polwarth District,"RIORDAN, Richard",Liberal,38.09
Bacchus Marsh,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,99.11
